Qty,Value,Device,Parts,MANUFACTURER,MANUFACTURER_PART_NUMBER
1,1.2nF,CAP_CERAMIC_0805MP,C12,,C0805C122K5RACTU
8,100nF,CAP_CERAMIC_0805MP,"C1, C2, C3, C11, C13, C19, C21, C22",,CL21B104KCFNNNE
1,100ÂµF 10VDC,C-POL_TANTALUM-2412(6032-METRIC),C18,,TPSC107K010R0075
1,10R,RESISTOR_0805MP,R8,,CRCW080510R0FKEAC 
4,10k 1%,RESISTOR_0805MP,"R9, R17, R18, R19",,CRCW080510K0FKEAC
5,10uF,CAP_CERAMIC_0805MP,"C14, C15, C16, C17, C20",,CL21A106KOQNNWE
7,10uF 35V,CAP_CERAMIC_0805MP,"C4, C5, C6, C7, C8, C9, C10",,C2012X5R1V106M085AC
2,12k 1%,RESISTOR_0805MP,"R4, R5",,CRCW080512K0FKEA
1,1k,RESISTOR_0805MP,R3,,CRCW08051K00FKEAC 
1,2.2k 1%,RESISTOR_0805MP,R7,,CRGCQ0805F2K2
1,20k 1%,RESISTOR_0805MP,R6,,CRCW080520K0FKEAC 
4,3.9k,RESISTOR_0805MP,"R1, R2, R14, R15",,CRCW08053K90FKEA
1,4.7k,RESISTOR_0805MP,R16,,CR0805-FX-4701ELF 
1,47k 1%,RESISTOR_0805MP,R10,,CRGCQ0805F47K
1,5.1k,RESISTOR_0805MP,R12,,RC0805FR-075K1L 
2,510R,RESISTOR_0805MP,"R11, R20",,AC0805FR-07511RL 
2,MMBT2222ALT1G,MMBT2222ALT1G,"Q1, Q4",,MMBT2222ALT1G
1,9HT12-32.768KDZY-T,9HT12,Q5,,9HT12-32.768KDZY-T
1,AP64501SP-13,AP64500SP-13,U3,,AP64500SP-13
1,BZT52C12TQ-7-F,BZT52C12TQ-7-F,D1,,BZT52C12TQ-7-F
1,"PMV33UPE,215","PMV33UPE,215",Q2,,"PMV33UPE,215"
2,BC857S-TP,BC857S-TP,"U4, U5",,BC857S-TP
1,SI7101DN,SI7101DN,Q3,Vishay,SI7101DN-T1-GE3
2,FM4007W,DIODE-DO-214AC,"D2, D3",,
1,LM36011YKBR,LM36011YKBR,U2,Texas Instruments,LM36011YKBR
1,M24C32-WMN6,M24C32-WMN6,U1,,M24C32-WMN6
1,PCF85363ATL,PCF85363ATL,U6,NXP,PCF85363ATL/A
1,SRN6045TA-3R3Y,INDUCTOR-SRN6045-33UH,L1,,SRN6045TA-3R3Y 
