"#","Comments","Part/BOM Name","BOM Qty","Designators","Manufacturer","MPN","Part"
"1","","Case Tectake Type 2","1","","Tectake","402870","Case Tectake Type 2"
"2","","Hollow Rectangular Capillary 0.30 x 3.00mm ID","1","","CM Scientific","3530-050","Hollow Rectangular Capillary 0.30 x 3.00mm ID"
"3","","Standoff M2.5 x 0.45 - 6mm (FM2101-2545-SS)","4","A1","Fascomp","FM2101-2545-SS","Standoff M2.5 x 0.45 - 6mm (FM2101-2545-SS)"
"4","","Standoff M2.5 x 0.45 - 15mm (FM2110-2545-SS) (FM2110-2545-SS)","4","A2","Fascomp","FM2110-2545-SS","Standoff M2.5 x 0.45 - 15mm (FM2110-2545-SS) (FM2110-2545-SS)"
"5","","Standoff M2.5 x 0.45 - 16mm (FM2111-2545-SS) (FM2111-2545-SS)","4","A3","Fascomp","FM2111-2545-SS","Standoff M2.5 x 0.45 - 16mm (FM2111-2545-SS) (FM2111-2545-SS)"
"6","","M2.5X5 INOX A2 CHC DIN 912","8","A4","BafaSa","CHI2.505","M2.5X5 INOX A2 CHC DIN 912"
"7","","M2.5X10 INOX A2 CHC DIN 912","7","A5","BafaSa","CHI2.510","M2.5X10 INOX A2 CHC DIN 912"
"8","","M3X12 INOX A2 BHC BASE ISO 7380-2","32","A6","BafaSa","BHCEI03012","M3X12 INOX A2 BHC BASE ISO 7380-2"
"9","","Silicone adhesive pads","4","A7","","","Silicone adhesive pads"
"10","","Barbed to Female Luer Adapter 1/16""","2","D1","Darwin Microfluidics","CIL-P-854","Barbed to Female Luer Adapter 1/16"""
"11","","Barbed to Male Luer Adapter 1/16""","1","D3","Darwin Microfluidics","CIL-P-850","Barbed to Male Luer Adapter 1/16"""
"12","","Tube n째3","1","D4","PontonZ","","Tube n째3"
"13","","Tube n째4","1","D5","PontonZ","","Tube n째4"
"14","","Mini Bubbling USB","1","E1","","","Mini Bubbling USB"
"15","","Kamoer  Peristalic pump KAS B12 SF - ID 1.5 OD 3.5","1","F1","Kamoer","KAS B12 SF","Kamoer  Peristalic pump KAS B12 SF - ID 1.5 OD 3.5"
"16","","FlowCell 300um","3","F4","planktoscope","FlowCell 300um","FlowCell 300um"
"17","","Reinforced Linear Stepper Motor","2","G1","Motor Kindom Store","SUS303","Reinforced Linear Stepper Motor"
"18","","Heat Sink Kit for Raspberry Pi 4B (110991327)","1","H1","Seeed Studio","110991327","Heat Sink Kit for Raspberry Pi 4B (110991327)"
"19","","Custom HAT","1","I1","planktoscope","Custom HAT","Custom HAT"
"20","","M12 LENS 25MM 5MP 1/2""","1","J1","Fulekan","Lens_25MM_5MP_1/2","M12 LENS 25MM 5MP 1/2"""
"21","","M12 Lens Locking Ring","2","J2","Fulekan","","M12 Lens Locking Ring"
"22","","M12 LENS 16MM 5MP 1/2.5""","1","J3","Fulekan","Lens_16MM_5MP_1/2.5","M12 LENS 16MM 5MP 1/2.5"""
"23","","LED - Adafruit (754)","1","J4","Adafruit Industries","754","LED - Adafruit (754)"
"24","","Sd Card 128Gb (SDSQXA1-128G-GN6MA)","1","K1","SanDisk","SDSQXA1-128G-GN6MA","Sd Card 128Gb (SDSQXA1-128G-GN6MA)"
"25","","LED to HAT wires","1","K2","planktoscope","","LED to HAT wires"
"26","","DC Power Jack Shield Front Pnl Mnt 2.1mm (721AFMS)","1","K3","Switchcraft","721AFMS","DC Power Jack Shield Front Pnl Mnt 2.1mm (721AFMS)"
"27","","Falcon tube 50ml","2","M1","BITEFU","bitefu006","Falcon tube 50ml"
"28","","BD Biocoat Luer-Lock Disposable Syringes - 20 mL","1","M2","Darwin Microfluidics","CO-07944-16","BD Biocoat Luer-Lock Disposable Syringes - 20 mL"
"29","","Structure V2.5","1","S","PontonZ","","Structure V2.5"
"30","","RASPBERRY PI 4 MODEL B (RPI4-MODBP-4GB)","1","X1","Raspberry Pi","RPI4-MODBP-4GB","RASPBERRY PI 4 MODEL B (RPI4-MODBP-4GB)"
"31","","Raspberry Pi HQ Camera (SC0261)","1","X4","Raspberry Pi","SC0261","Raspberry Pi HQ Camera (SC0261)"
"32","","AC ADAPTOR 12V 4A 2.1MM (SW3126B)","1","X5","Stontronics","SW3126B","AC ADAPTOR 12V 4A 2.1MM (SW3126B)"
"33","","Square Nuts M3X5.5X1.8 INOX A2 DIN 562","32","XXX","BafaSa","562I3","Square Nuts M3X5.5X1.8 INOX A2 DIN 562"
"34","","Neodyme Circular Magnet 5mm x5mm","30","XXX1","First4magnets","F641-25","Neodyme Circular Magnet 5mm x5mm"
